"idCamion","descanso"
"A110372B","8/26/2022"
"A111002A","8/26/2022"
"A112522A","8/25/2022"
"A113290A","8/26/2022"
"A114833A","8/26/2022"
"A115178B","8/25/2022"
"A115178C","8/26/2022"
"A120540A","8/26/2022"
"A121152B","8/25/2022"
"A124517A","8/25/2022"
"A125695A","8/25/2022"
"A125695C","8/26/2022"
"A129527A","8/26/2022"
"A129921A","8/26/2022"
"A130458A","8/26/2022"
"A140758A","8/26/2022"
"AA9001E","8/25/2022"
"AA9001F","8/25/2022"
"AA9001G","8/25/2022"
"A103296A","8/30/2022"
"A103328A","8/30/2022"
"A103451B","8/30/2022"
"A103451E","8/28/2022"
"A103698A","8/30/2022"
"A104096A","8/28/2022"
"A104161B","8/30/2022"
"A104403D","8/29/2022"
"A104715D","8/29/2022"
"A104715E","8/30/2022"
"A104877A","8/28/2022"
"A105422A","8/29/2022"
"A106022A","8/30/2022"
"A106058D","8/30/2022"
"A107070A","8/30/2022"
"A109742B","8/30/2022"
"A110372B","8/28/2022"
"A111002A","8/29/2022"
"A112522A","8/30/2022"
"A113290A","8/30/2022"
"A114833A","8/29/2022"
"A115178B","8/28/2022"
"A115178C","8/28/2022"
"A120540A","8/28/2022"
"A121152B","8/30/2022"
"A124517A","8/30/2022"
"A125695A","8/30/2022"
"A125695C","8/29/2022"
"A129527A","8/30/2022"
"A129921A","8/28/2022"
"A130458A","8/29/2022"
"A140758A","8/28/2022"
"AA9001E","8/30/2022"
"AA9001F","8/30/2022"
"AA9001G","8/28/2022"
"A103296A","9/1/2022"
"A103328A","9/1/2022"
"A103451B","9/2/2022"
"A103451E","9/2/2022"
"A103698A","9/1/2022"
"A104096A","9/2/2022"
"A104161B","9/2/2022"
"A104403D","9/1/2022"
"A104715D","9/1/2022"
"A104715E","9/2/2022"
"A104877A","9/2/2022"
"A105422A","9/1/2022"
"A106022A","9/1/2022"
"A106058D","9/1/2022"
"A107070A","9/1/2022"
"A109742B","9/1/2022"
"A110372B","9/2/2022"
"A111002A","9/1/2022"
"A112522A","9/1/2022"
"A113290A","9/2/2022"
"A114833A","9/1/2022"
"A115178B","9/1/2022"
"A115178C","9/2/2022"
"A120540A","9/1/2022"
"A121152B","9/2/2022"
"A124517A","9/2/2022"
"A125695A","9/1/2022"
"A125695C","9/1/2022"
"A129527A","9/2/2022"
"A129921A","9/1/2022"
"A130458A","9/2/2022"
"A140758A","9/1/2022"
"AA9001E","9/2/2022"
"AA9001F","9/2/2022"
"AA9001G","9/1/2022"
"A103296A","9/5/2022"
"A103328A","9/6/2022"
"A103451B","9/5/2022"
"A103451E","9/5/2022"
"A103698A","9/6/2022"
"A104096A","9/5/2022"
"A104161B","9/6/2022"
"A104403D","9/6/2022"
"A104715D","9/6/2022"
"A104715E","9/5/2022"
"A104877A","9/6/2022"
"A105422A","9/4/2022"
"A106022A","9/5/2022"
"A106058D","9/5/2022"
"A107070A","9/5/2022"
"A109742B","9/5/2022"
"A110372B","9/6/2022"
"A111002A","9/4/2022"
"A112522A","9/6/2022"
"A113290A","9/4/2022"
"A114833A","9/5/2022"
"A115178B","9/5/2022"
"A115178C","9/5/2022"
"A120540A","9/4/2022"
"A121152B","9/4/2022"
"A124517A","9/6/2022"
"A125695A","9/5/2022"
"A125695C","9/6/2022"
"A129527A","9/6/2022"
"A129921A","9/5/2022"
"A130458A","9/6/2022"
"A140758A","9/4/2022"
"AA9001E","9/5/2022"
"AA9001F","9/6/2022"
"AA9001G","9/6/2022"
