idCamion,idPedido,start_date,end_date,late
A106022A,2104AR035-021,2022-08-01 11:22:07.762992,2022-08-01 17:28:33.528554,0
A103304A,2006AP005-001,2022-08-02 10:08:05.292198,2022-08-04 08:00:00,0
A103451A,2204AP004-003,2022-08-01 07:00:00,2022-08-01 11:32:36.412282,0
A103451D,2002AP003-001,2022-08-01 10:35:31.778384,2022-08-01 17:29:41.358400,0
A103958A,1905AR021-005,2022-08-06 07:00:00,2022-08-06 11:50:37.588444,0
A103451C,1902AR067-004,2022-08-09 07:00:00,2022-08-09 14:12:02.974364,0
A104715C,2005AR124-004,2022-08-06 15:31:52.477140,2022-08-09 08:00:00,0
A125695C,2005AR125-001,2022-08-01 09:43:56.043526,2022-08-01 14:21:42.374527,0
A104403D,1902AR067-002,2022-08-04 07:00:00.783613,2022-08-04 14:40:54.922244,0
A123070A,2103AR035-001,2022-08-02 14:00:37.234571,2022-08-02 20:02:21.578660,0
A103451C,2003AP002-002,2022-08-10 07:00:00.974364,2022-08-10 14:16:33.582951,0
A106022A,1803AR007-012,2022-08-03 07:00:00.528554,2022-08-05 08:00:00,0
A103761A,1906AR154-001,2022-08-01 16:07:46.208069,2022-08-03 08:00:00,0
A121944A,1912AP008-005,2022-08-01 07:00:00,2022-08-01 09:44:20.292041,0
A106022A,2202AP001-013,2022-08-05 08:00:00,2022-08-05 13:11:13.254855,0
A103652A,1903AR141-002,2022-08-04 07:00:00.460557,2022-08-04 14:39:52.673147,0
A120540A,2003AR131-002,2022-08-01 10:10:06.595926,2022-08-03 08:00:00,0
A103451D,2203AZ013-003,2022-08-02 07:00:00.358400,2022-08-02 12:19:29.792495,0
A140758A,2202AR007-006,2022-08-03 07:00:00.145723,2022-08-03 12:53:30.804288,0
A103296A,2102AR037-001,2022-08-01 13:41:00.707199,2022-08-03 14:00:00,0
A125695C,2201AP002-004,2022-08-02 07:00:00.374527,2022-08-02 13:53:40.441056,0
A125695C,2102AR027-006,2022-08-04 07:00:00.441056,2022-08-04 12:53:10.758836,0
A123070A,2201AP003-005,2022-08-03 07:00:00.578660,2022-08-05 08:00:00,0
A103296A,1901AR032-003,2022-08-04 07:00:00,2022-08-06 08:00:00,0
A104877C,2200AR029-001,2022-08-02 07:00:00.091566,2022-08-02 16:34:47.092494,0
A103958A,2201AP002-001,2022-08-06 11:50:37.588444,2022-08-08 08:00:00,0
A123070A,2200AR035-001,2022-08-06 07:00:00,2022-08-06 16:05:09.598567,0
A104877C,2006AP004-001,2022-08-03 07:00:00.092494,2022-08-03 10:41:07.663959,0
A119269A,2002AR056-001,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A103451A,2102AR027-002,2022-08-01 11:32:36.412282,2022-08-01 18:41:35.139366,0
A103761A,2003AP002-003,2022-08-05 07:00:00,2022-08-07 08:00:00,3
A103451A,1905AP005-004,2022-08-02 07:00:00.139366,2022-08-02 11:15:19.462539,0
A121944A,2105AR100-003,2022-08-01 09:44:20.292041,2022-08-01 14:59:03.494427,0
A120540A,2203AR016-003,2022-08-04 07:00:00,2022-08-04 14:05:11.824116,1
A103451D,2008AR015-002,2022-08-02 12:19:29.792495,2022-08-02 16:30:14.442726,1
A140758A,1901AR013-003,2022-08-04 07:00:00.804288,2022-08-04 14:31:32.839613,2
A103958A,2003AR131-002,2022-08-10 07:00:00,2022-08-12 08:00:00,0
A103652A,2116AR049-013,2022-08-04 14:39:52.673147,2022-08-04 16:52:11.338193,3
A121944A,2108AR182-001,2022-08-01 14:59:03.494427,2022-08-03 14:00:00,2
